City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Lebu,CL,2022-09-07 01:17:45,-37.6167,-73.65,284.58,87,76,7.57
59,Albany,US,2022-09-07 01:08:36,42.6001,-73.9662,290.86,95,100,0.84
60,Tasiilaq,GL,2022-09-07 01:17:46,65.6145,-37.6368,276.24,91,52,2.45
61,Rafaela,AR,2022-09-07 01:17:46,-31.2503,-61.4867,287.58,42,0,1.34
62,Flinders,AU,2022-09-07 01:17:47,-34.5833,150.8552,291.58,69,35,1.79
63,Constitucion,CL,2022-09-07 01:17:47,-35.3333,-72.4167,282.85,88,3,2.44
64,Saint George,US,2022-09-07 01:17:48,37.1041,-113.5841,315.9,9,0,3.09
65,Codrington,AU,2022-09-07 01:17:48,-38.2667,141.9667,287.96,67,100,7.55
66,Mar Del Plata,AR,2022-09-07 01:17:49,-38.0023,-57.5575,286.41,84,11,6.26
67,Luwuk,ID,2022-09-07 01:17:49,-0.9516,122.7875,300.0,81,100,1.19
68,Nikolskoye,RU,2022-09-07 01:17:50,59.7035,30.7861,283.03,95,76,3.18
69,Fagersta,SE,2022-09-07 01:17:50,60.0042,15.7932,280.92,92,16,1.48
70,Saint Anthony,US,2022-09-07 01:17:51,45.0205,-93.218,299.11,72,40,3.09
71,Wamba,NG,2022-09-07 01:17:51,8.9333,8.6,294.29,94,100,1.07
72,Berlevag,NO,2022-09-07 01:17:52,70.8578,29.0864,279.12,70,100,2.57
73,Hasaki,JP,2022-09-07 01:17:52,35.7333,140.8333,302.37,81,100,3.45
74,Te Anau,NZ,2022-09-07 01:17:53,-45.4167,167.7167,279.33,96,100,1.42
75,Mundo Nuevo,MX,2022-09-07 01:17:53,18.7,-95.5,301.06,78,99,3.47
76,Washim,IN,2022-09-07 01:17:54,20.1,77.15,296.29,91,20,2.11
77,Beringovskiy,RU,2022-09-07 01:17:54,63.05,179.3167,278.48,86,100,9.64
78,Pozo Colorado,PY,2022-09-07 01:17:55,-23.4923,-58.7972,290.95,49,0,2.05
79,Hobart,AU,2022-09-07 01:13:57,-42.8794,147.3294,286.51,65,40,2.06
80,Dunedin,NZ,2022-09-07 01:16:53,-45.8742,170.5036,283.04,69,100,0.89
81,Fort Nelson,CA,2022-09-07 01:17:56,58.8053,-122.7002,290.92,39,75,2.57
82,Batemans Bay,AU,2022-09-07 01:15:36,-35.7167,150.1833,288.76,61,23,2.56
83,Mapiripan,CO,2022-09-07 01:17:56,2.8892,-72.1256,295.55,92,15,1.71
84,New Norfolk,AU,2022-09-07 01:17:57,-42.7826,147.0587,286.32,55,6,1.62
85,Yuli,NG,2022-09-07 01:17:57,9.6989,10.2744,295.31,92,100,1.12
86,Tilichiki,RU,2022-09-07 01:17:58,60.4667,166.1,284.55,51,5,3.56
87,Fairbanks,US,2022-09-07 01:14:23,64.8378,-147.7164,289.04,66,40,0.89
88,Kaitangata,NZ,2022-09-07 01:18:58,-46.2817,169.8464,279.58,94,100,3.84
89,Faanui,PF,2022-09-07 01:18:59,-16.4833,-151.75,299.05,74,6,7.85
90,Nevsehir,TR,2022-09-07 01:13:59,38.9167,34.6667,283.71,58,0,3.6
91,Naze,JP,2022-09-07 01:18:59,28.3667,129.4833,301.66,65,31,5.81
92,Mount Gambier,AU,2022-09-07 01:19:00,-37.8333,140.7667,289.6,55,100,4.65
93,Butaritari,KI,2022-09-07 01:19:00,3.0707,172.7902,300.96,69,100,7.94
94,Upernavik,GL,2022-09-07 01:18:09,72.7868,-56.1549,277.07,93,100,4.0
95,Punta Arenas,CL,2022-09-07 01:17:22,-53.15,-70.9167,273.21,80,0,5.66
96,Iskateley,RU,2022-09-07 01:19:01,67.6803,53.1512,276.01,88,90,2.67
97,Sao Filipe,CV,2022-09-07 01:19:01,14.8961,-24.4956,299.48,85,100,4.36
98,Bluff,NZ,2022-09-07 01:19:02,-46.6,168.3333,278.6,71,52,5.65
99,Fayaoue,NC,2022-09-07 01:19:03,-20.65,166.5333,295.15,82,100,10.01
100,Georgetown,MY,2022-09-07 01:14:19,5.4112,100.3354,301.11,95,40,1.54
101,Lotofaga,WS,2022-09-07 01:19:03,-13.9764,-171.8578,305.03,74,9,8.41
102,Wattegama,LK,2022-09-07 01:19:04,6.7989,81.4808,297.54,77,100,3.94
103,Cidreira,BR,2022-09-07 01:19:04,-30.1811,-50.2056,289.31,90,100,7.03
104,Muros,ES,2022-09-07 01:19:05,42.7762,-9.0603,292.09,80,100,4.53
105,Pevek,RU,2022-09-07 01:19:05,69.7008,170.3133,276.96,78,92,6.16
106,Torbay,CA,2022-09-07 01:19:05,47.6666,-52.7314,286.9,94,100,4.63
107,Tanete,ID,2022-09-07 01:19:06,-3.9443,119.7848,301.08,70,100,2.41
108,Vila Velha,BR,2022-09-07 01:19:06,-20.3297,-40.2925,295.12,71,75,4.12
109,Thompson,CA,2022-09-07 01:18:51,55.7435,-97.8558,288.24,58,75,1.54
110,Kodiak,US,2022-09-07 01:19:07,57.79,-152.4072,285.88,76,40,2.57
111,Paamiut,GL,2022-09-07 01:19:08,61.994,-49.6678,277.62,90,0,6.35
112,Talcahuano,CL,2022-09-07 01:19:08,-36.7167,-73.1167,282.97,100,100,7.72
113,Bethel,US,2022-09-07 01:18:25,41.3712,-73.414,292.31,90,100,3.6
114,Arraial Do Cabo,BR,2022-09-07 01:19:10,-22.9661,-42.0278,293.23,73,100,10.26
115,Beloha,MG,2022-09-07 01:19:10,-25.1667,45.05,289.7,90,0,2.7
116,Hamilton,US,2022-09-07 01:18:53,39.1834,-84.5333,296.42,82,75,2.57
117,Vardo,NO,2022-09-07 01:19:11,70.3705,31.1107,279.14,75,100,4.63
118,Mount Isa,AU,2022-09-07 01:19:11,-20.7333,139.5,302.02,20,4,6.17
119,Regente Feijo,BR,2022-09-07 01:19:12,-22.2214,-51.3028,289.75,94,75,7.72
120,Sabang,ID,2022-09-07 01:19:12,5.8933,95.3214,299.16,84,100,11.3
121,Shenjiamen,CN,2022-09-07 01:19:13,29.9576,122.298,298.87,66,100,2.58
122,Atuona,PF,2022-09-07 01:19:13,-9.8,-139.0333,298.15,78,20,8.53
123,Mineral Wells,US,2022-09-07 01:19:13,32.8085,-98.1128,304.26,54,0,2.06
124,Nizwa,OM,2022-09-07 01:19:14,22.9333,57.5333,299.96,57,2,0.6
125,Maneadero,MX,2022-09-07 01:19:14,31.7167,-116.5667,299.32,78,6,0.45
126,Celestun,MX,2022-09-07 01:19:15,20.8667,-90.4,300.94,80,2,6.89
127,Nizhyn,UA,2022-09-07 01:19:15,51.048,31.8869,277.44,81,8,2.47
128,Cherskiy,RU,2022-09-07 01:19:16,68.75,161.3,284.4,46,90,9.44
129,Terpinnya,UA,2022-09-07 01:19:16,46.9697,35.4197,281.59,60,16,2.72
130,Progreso,MX,2022-09-07 01:19:16,21.2833,-89.6667,302.65,82,0,6.42
131,Nome,US,2022-09-07 01:17:51,64.5011,-165.4064,283.19,87,100,4.12
132,Miles City,US,2022-09-07 01:14:19,46.4083,-105.8406,302.77,20,0,4.19
133,Pitimbu,BR,2022-09-07 01:27:15,-7.4706,-34.8086,295.48,80,20,7.43
134,Rawson,AR,2022-09-07 01:27:15,-43.3002,-65.1023,281.97,85,100,11.3
135,Anadyr,RU,2022-09-07 01:27:16,64.75,177.4833,281.43,61,20,5.81
136,Hilo,US,2022-09-07 01:24:09,19.7297,-155.09,306.08,80,100,2.06
137,Kenora,CA,2022-09-07 01:28:17,49.8167,-94.4337,294.69,40,20,3.09
138,Kandrian,PG,2022-09-07 01:28:17,-6.2167,149.55,302.68,66,92,5.07
139,Hofn,IS,2022-09-07 01:28:18,64.2539,-15.2082,284.44,83,24,4.21
140,Nanortalik,GL,2022-09-07 01:28:19,60.1432,-45.2371,279.83,95,100,0.59
141,Dezhou,CN,2022-09-07 01:28:19,37.4486,116.2925,296.84,37,0,0.84
