City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Areado,BR,2022-10-29 21:44:01,-21.3586,-46.1456,294.66,73,97,1.49
67,Guadalupe Y Calvo,MX,2022-10-29 21:44:02,26.1,-106.9667,291.02,24,77,3.13
68,Eston,CA,2022-10-29 21:44:03,51.1501,-108.7514,285.33,26,10,3.74
69,Luanda,AO,2022-10-29 21:42:27,-8.8368,13.2343,298.15,88,75,3.6
70,Wilmington,US,2022-10-29 21:44:04,34.2257,-77.9447,293.66,78,100,4.12
71,Firozpur Jhirka,IN,2022-10-29 21:44:05,27.8,76.95,294.72,42,1,0.3
72,Broome,US,2022-10-29 21:44:06,42.2506,-75.833,288.8,33,0,0.0
73,Busselton,AU,2022-10-29 21:44:07,-33.65,115.3333,283.07,59,31,6.25
74,Sechura,PE,2022-10-29 21:44:07,-5.5569,-80.8222,295.04,61,97,8.11
75,Galle,LK,2022-10-29 21:44:13,6.0367,80.217,297.93,86,99,1.3
76,Pangnirtung,CA,2022-10-29 21:44:14,66.1451,-65.7125,263.05,72,17,4.73
77,Te Anau,NZ,2022-10-29 21:44:14,-45.4167,167.7167,283.61,96,94,2.62
78,Khandbari,NP,2022-10-29 21:44:15,27.3747,87.2039,288.24,73,0,1.81
79,Pisco,PE,2022-10-29 21:44:16,-13.7,-76.2167,291.49,77,0,4.63
80,Castro,BR,2022-10-29 21:44:17,-24.7911,-50.0119,288.21,96,84,0.6
81,Archidona,ES,2022-10-29 21:44:18,37.0965,-4.3887,289.08,61,92,2.61
82,Ponta Do Sol,PT,2022-10-29 21:44:18,32.6667,-17.1,295.38,90,98,1.38
83,Cruzeiro,BR,2022-10-29 21:44:19,-22.5761,-44.9628,301.24,71,71,1.51
84,Siderno,IT,2022-10-29 21:44:20,38.2779,16.302,289.45,69,0,2.4
85,Xiongzhou,CN,2022-10-29 21:44:20,25.1167,114.3,287.69,94,14,1.39
86,Kavieng,PG,2022-10-29 21:44:21,-2.5744,150.7967,301.92,71,96,3.67
87,Ballina,AU,2022-10-29 21:44:22,-28.8667,153.5667,293.03,55,3,2.36
88,Chumikan,RU,2022-10-29 21:44:23,54.7183,135.315,270.53,77,100,6.11
89,Coquimbo,CL,2022-10-29 21:44:24,-29.9533,-71.3436,288.0,82,75,5.14
90,Ayutla,MX,2022-10-29 21:44:24,20.1167,-104.3333,299.86,39,0,3.23
