City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mahebourg,MU,-20.4081,57.7,297.31,73,40,5.14,scattered clouds
79,Praya,CV,14.9215,-23.5087,304.45,58,75,6.69,broken clouds
80,Faanui,PF,-16.4833,-151.75,298.87,77,74,3.36,light rain
81,Qaanaaq,GL,77.484,-69.3632,255.74,62,21,3.42,few clouds
82,Albany,US,42.6001,-73.9662,286.65,67,85,1.5,overcast clouds
83,Xingyi,CN,24.1877,102.817,282.75,94,5,1.22,clear sky
84,Khatanga,RU,71.9667,102.5,264.8,95,100,7.42,light snow
85,Carnot,CF,4.9409,15.8665,298.01,83,94,2.98,light rain
86,Progreso,MX,21.2833,-89.6667,299.88,69,19,3.17,few clouds
87,Georgetown,MY,5.4112,100.3354,299.95,90,40,4.12,scattered clouds
88,Bluff,NZ,-46.6,168.3333,282.89,89,64,2.4,broken clouds
89,Labuhan,ID,-6.8844,112.2051,300.74,71,99,1.72,overcast clouds
90,Tyumentsevo,RU,53.3224,81.498,273.15,98,100,3.29,overcast clouds
91,Sanghar,PK,26.0466,68.9481,302.95,22,0,3.78,clear sky
92,Cap Malheureux,MU,-19.9842,57.6142,296.74,71,7,2.24,clear sky
93,Hasaki,JP,35.7333,140.8333,286.05,49,70,5.41,broken clouds
94,Lorengau,PG,-2.0226,147.2712,300.92,74,6,3.53,clear sky
95,Ribeira Grande,PT,38.5167,-28.7,292.37,63,20,4.63,few clouds
96,Sacalum,MX,20.4833,-89.5833,300.71,64,80,2.19,broken clouds
97,Atuona,PF,-9.8,-139.0333,297.79,78,11,7.43,few clouds
98,Biryukove,UA,47.9563,39.7384,276.27,65,82,7.32,light rain
99,Tupik,RU,54.4253,119.9327,267.51,91,100,5.2,light snow
100,Longyearbyen,SJ,78.2186,15.6401,270.06,74,40,5.14,scattered clouds
101,Taoudenni,ML,22.6783,-3.9836,307.07,7,100,2.21,overcast clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,285.9,67,40,6.17,scattered clouds
103,San Cristobal,VE,7.7669,-72.225,297.25,48,31,1.76,scattered clouds
104,Kuna,US,43.4918,-116.4201,282.47,80,75,0.0,haze
105,Provideniya,RU,64.3833,-173.3,262.23,81,29,3.3,scattered clouds
106,Port Lincoln,AU,-34.7333,135.8667,283.61,73,100,9.63,overcast clouds
107,Vao,NC,-22.6667,167.4833,295.7,81,18,4.46,few clouds
108,Hithadhoo,MV,-0.6,73.0833,300.32,72,90,2.83,overcast clouds
109,Beloha,MG,-25.1667,45.05,297.93,76,100,3.33,light rain
110,Cherskiy,RU,68.75,161.3,252.02,99,99,3.05,overcast clouds
111,Rio Gallegos,AR,-51.6226,-69.2181,283.18,34,75,9.77,broken clouds
112,Grindavik,IS,63.8424,-22.4338,281.12,93,75,6.69,broken clouds
113,Vardo,NO,70.3705,31.1107,274.14,86,100,3.6,overcast clouds
114,Andenes,NO,69.3143,16.1194,279.14,87,75,3.6,drizzle
115,Kavaratti,IN,10.5669,72.642,301.71,66,6,0.82,clear sky
116,East London,ZA,-33.0153,27.9116,289.67,72,40,3.6,scattered clouds
117,Pacific Grove,US,36.6177,-121.9166,284.21,96,100,2.06,overcast clouds
118,Ilulissat,GL,69.2167,-51.1,266.16,79,20,0.51,few clouds
119,Mozhaysk,RU,55.5019,36.0272,274.89,81,100,7.03,overcast clouds
120,Puga,MX,21.5833,-104.8167,286.19,100,0,0.0,fog
121,Codrington,AU,-38.2667,141.9667,279.81,93,100,3.63,light rain
122,San Fernando,PH,15.0286,120.6898,299.0,90,91,5.43,overcast clouds
123,Coihaique,CL,-45.5752,-72.0662,283.49,50,0,2.57,clear sky
124,Ballina,AU,-28.8667,153.5667,297.05,92,100,8.26,light rain
125,Sawtell,AU,-30.3833,153.1,299.16,57,100,8.23,overcast clouds
126,La Huerta,MX,19.4667,-104.65,295.27,82,6,0.68,clear sky
127,Guerrero Negro,MX,27.9769,-114.0611,291.59,79,0,1.35,clear sky
128,Puerto Ayacucho,VE,5.6639,-67.6236,303.29,68,72,1.4,broken clouds
129,Constitucion,CL,-35.3333,-72.4167,292.51,27,0,6.32,clear sky
130,Ilula,TZ,-7.6766,36.0366,298.21,40,25,4.01,scattered clouds
131,Saint-Augustin,CA,51.226,-58.6502,282.66,64,63,8.23,broken clouds
132,Pisco,PE,-13.7,-76.2167,289.27,88,100,2.57,mist
133,Vaini,TO,-21.2,-175.2,297.24,94,100,4.63,thunderstorm with rain
134,Roma,US,43.2128,-75.4557,286.94,72,75,0.45,broken clouds
135,Tilichiki,RU,60.4667,166.1,257.45,83,97,4.84,overcast clouds
136,East Wenatchee Bench,US,47.4257,-120.2812,284.8,82,100,3.09,overcast clouds
137,Ancud,CL,-41.8697,-73.8203,284.0,60,1,1.69,clear sky
138,Strezhevoy,RU,60.7333,77.5889,268.96,86,99,4.59,overcast clouds
139,Nemuro,JP,43.3236,145.575,282.4,67,11,1.44,few clouds
140,Mzimba,MW,-11.9,33.6,300.31,31,50,4.88,scattered clouds
141,Berlevag,NO,70.8578,29.0864,277.15,93,75,6.17,broken clouds
142,Puerto Escondido,MX,15.85,-97.0667,297.61,100,0,5.14,clear sky
143,Thompson,CA,55.7435,-97.8558,273.24,93,75,1.03,broken clouds
144,Harlingen,US,26.1906,-97.6961,297.53,85,100,2.57,overcast clouds
145,La Union,PE,-5.4,-80.75,296.38,54,100,4.89,overcast clouds
146,Sao Felix Do Xingu,BR,-6.6447,-51.995,309.88,36,84,1.55,broken clouds
147,Lompoc,US,34.6391,-120.4579,292.47,100,100,1.54,fog
148,Yellowknife,CA,62.456,-114.3525,263.44,79,100,4.63,light snow
149,Gorontalo,ID,0.5412,123.0595,297.84,95,72,0.93,broken clouds
150,Brora,GB,58.0099,-3.8518,289.85,77,100,6.86,overcast clouds
151,Zhovtneve,UA,50.6637,24.2492,284.16,65,10,1.3,clear sky
152,Butaritari,KI,3.0707,172.7902,299.96,72,100,4.4,overcast clouds
153,Kupang,ID,-10.1667,123.5833,299.88,78,100,3.24,overcast clouds
154,Maragogi,BR,-9.0122,-35.2225,301.52,66,79,5.27,broken clouds
155,Necochea,AR,-38.5473,-58.7368,284.37,61,100,9.07,overcast clouds
156,Airai,TL,-8.9266,125.4092,290.16,96,100,0.64,overcast clouds
157,Iqaluit,CA,63.7506,-68.5145,265.0,78,75,11.83,light snow
158,Kloulklubed,PW,7.0419,134.2556,297.43,75,100,6.78,overcast clouds
159,Katete,UG,-0.7818,29.7544,297.95,57,68,0.31,light rain
160,Bubaque,GW,11.2833,-15.8333,301.77,68,6,2.91,clear sky
161,Kandrian,PG,-6.2167,149.55,298.75,88,59,1.56,broken clouds
162,Lagdo,CM,9.05,13.7333,309.09,19,0,2.32,clear sky
163,Vadso,NO,70.0744,29.7487,275.24,87,75,1.54,broken clouds
164,Waingapu,ID,-9.6567,120.2641,300.37,75,90,3.01,overcast clouds
165,Tiznit,MA,29.5833,-9.5,302.46,11,6,5.89,clear sky
166,Weatherford,US,32.7593,-97.7972,288.97,83,100,0.66,overcast clouds
167,Sibolga,ID,1.7427,98.7792,297.99,90,100,1.05,overcast clouds
168,Purnia,IN,25.7833,87.4667,297.21,62,1,1.06,clear sky
169,Dakoro,NE,14.5106,6.765,306.3,12,5,3.91,clear sky
170,Rujewa,TZ,-8.7,34.3833,300.74,36,88,4.14,overcast clouds
171,Mitu,CO,1.1983,-70.1733,303.83,57,100,1.88,overcast clouds
172,Lagoa,PT,39.05,-27.9833,289.64,57,53,2.48,broken clouds
173,Kenai,US,60.5544,-151.2583,271.56,71,100,3.6,overcast clouds
174,Cidreira,BR,-30.1811,-50.2056,289.52,87,100,10.77,overcast clouds
175,Lake City,US,30.1897,-82.6393,298.6,100,100,2.57,overcast clouds
176,Norman Wells,CA,65.282,-126.8329,259.17,85,100,7.2,light snow
177,Vysokogornyy,RU,50.1167,139.15,273.22,54,100,1.3,overcast clouds
178,Chuy,UY,-33.6971,-53.4616,287.95,48,60,8.13,broken clouds
179,Hokitika,NZ,-42.7167,170.9667,283.6,88,33,2.16,scattered clouds
180,Vestmannaeyjar,IS,63.4427,-20.2734,280.7,93,100,6.69,mist
181,Mansehra,PK,34.3333,73.2,288.85,50,36,2.02,scattered clouds
182,Primero De Enero,CU,21.9469,-78.4283,303.2,65,11,4.85,few clouds
183,Kiama,AU,-34.6833,150.8667,295.62,82,99,3.58,light rain
184,Geraldton,AU,-28.7667,114.6,288.38,72,0,5.66,clear sky
185,Xuddur,SO,4.1213,43.8894,301.39,55,87,2.64,overcast clouds
186,Te Anau,NZ,-45.4167,167.7167,281.22,93,38,1.02,scattered clouds
187,Klaksvik,FO,62.2266,-6.589,284.66,92,100,15.1,overcast clouds
188,Tokur,RU,53.1333,132.9,270.86,97,100,1.3,snow
189,Pingliang,CN,35.5392,106.6861,282.32,77,0,2.58,clear sky
190,Kurtamysh,RU,54.9103,64.4319,275.05,97,100,7.68,overcast clouds
191,Bethel,US,41.3712,-73.414,288.72,75,71,0.89,broken clouds
192,Touros,BR,-5.1989,-35.4608,303.22,54,10,6.46,clear sky
193,Tezu,IN,27.9167,96.1667,292.64,66,0,1.93,clear sky
194,De Aar,ZA,-30.6497,24.0123,297.73,18,100,5.79,overcast clouds
195,Katobu,ID,-4.9408,122.5276,297.99,91,100,0.89,overcast clouds
196,Ipiau,BR,-14.1372,-39.7339,306.6,43,92,2.36,overcast clouds
197,Kerman,IR,30.2832,57.0788,296.07,21,75,2.06,broken clouds
198,Broome,US,42.2506,-75.833,286.73,74,0,3.6,clear sky
199,Kaitangata,NZ,-46.2817,169.8464,281.35,96,21,1.22,few clouds
200,Meulaboh,ID,4.1363,96.1285,298.21,84,100,0.94,overcast clouds
201,Pizhanka,RU,57.4604,48.542,273.37,100,100,3.21,snow
202,Fort Nelson,CA,58.8053,-122.7002,264.92,98,75,1.03,broken clouds
203,Roald,NO,62.5833,6.1333,287.22,76,75,3.6,broken clouds
204,Palmer,US,42.1584,-72.3287,290.18,69,75,1.54,broken clouds
205,Ust-Nera,RU,64.5667,143.2,247.39,97,25,1.41,scattered clouds
206,Ceyhan,TR,37.0247,35.8175,299.34,33,6,2.28,clear sky
